Project,High_Samples,Low_Samples,Filtered_Genes,Total_DEGs,Up_in_High,Down_in_High
TCGA-BLCA,103,106,20204,5900,3719,2181
TCGA-BRCA,278,285,21441,11695,6392,5303
TCGA-CESC,76,76,20218,6349,3840,2509
TCGA-CHOL,9,9,19367,0,0,0
TCGA-COAD,121,140,19954,9973,5554,4419
TCGA-ESCA,46,46,25133,12315,6347,5968
TCGA-HNSC,130,130,19657,6506,4071,2435
TCGA-KIRC,135,139,21797,9836,6253,3583
TCGA-KIRP,72,72,20424,11009,6126,4883
TCGA-LIHC,93,93,18261,8683,4241,4442
TCGA-LUAD,147,154,20953,5147,2948,2199
TCGA-LUSC,131,128,21785,9281,4581,4700
TCGA-PAAD,44,44,21007,4674,2914,1760
TCGA-PRAD,127,129,20916,6258,4266,1992
TCGA-READ,42,42,18554,9858,4903,4955
TCGA-SARC,65,65,19664,11600,5889,5711
TCGA-STAD,103,103,24556,6949,4080,2869
TCGA-THYM,30,30,21290,10349,4914,5435
