source	target	weight	module1	module2
COL1A2	COL3A1	0.9919638723498784	greenyellow	greenyellow
COL1A1	COL1A2	0.9873465805015289	greenyellow	greenyellow
AL365181.3	AL590666.2	0.9870462929513402	grey	grey
KRT17P1	KRT17P6	0.9866047325008072	yellow	yellow
USP9Y	UTY	0.9863925345708753	bisque4	bisque4
KDM5D	TXLNGY	0.9857042300266886	bisque4	bisque4
TPT1P4	TPT1P9	0.9846150295196298	black	black
KRT17P2	KRT17P6	0.9830093640879793	yellow	yellow
AC018865.2	FAR2P1	0.9829398137644454	cyan	cyan
SOX21	SOX21-AS1	0.9828689733617351	red	red
FABP5P1	FABP5P7	0.982711585953115	yellow	yellow
IGKC	MZB1	0.9813629781941736	lightyellow	lightyellow
AC015922.2	MEIS3P1	0.9805945040639915	brown	brown
KRT8P3	KRT8P45	0.9804755865147274	blue	blue
DDX3Y	USP9Y	0.9800531682540282	bisque4	bisque4
KRT17P3	KRT17P6	0.9796487938832128	yellow	yellow
AL590666.2	BCAN	0.979586398729517	grey	grey
C1QB	C1QC	0.9788776653651114	green	green
AL365181.3	BCAN	0.9788263059053731	grey	grey
KRT17P1	KRT17P2	0.9787670144209494	yellow	yellow
YWHAZP2	YWHAZP3	0.9784520568931812	sienna3	sienna3
DDX3Y	UTY	0.9781620279522528	bisque4	bisque4
GAPDHP63	GAPDHP65	0.977880112265009	plum1	plum1
EIF1AY	TXLNGY	0.9777956948319436	bisque4	bisque4
ACTG2	CNN1	0.9775050319599197	brown	brown
FABP5P1	FABP5P2	0.9768212355033068	yellow	yellow
FTLP2	FTLP3	0.9765585264720716	black	black
KRT17P2	KRT17P3	0.974959903869554	yellow	yellow
FABP5	FABP5P1	0.974258484697824	yellow	yellow
GAPDHP63	GAPDHP72	0.9739456760912478	plum1	plum1
C1QA	C1QB	0.9732525956369249	green	green
COL1A1	COL3A1	0.9729831177567034	greenyellow	greenyellow
FABP5P11	FABP5P2	0.9726888531385931	yellow	yellow
AC009123.1	ADAD2	0.9725667508511908	red	red
FABP5	FABP5P7	0.972380188635563	yellow	yellow
EIF1AY	KDM5D	0.9721116969363982	bisque4	bisque4
TPT1P6	TPT1P9	0.9716749309026872	black	black
COL1A2	SPARC	0.9712784370477936	greenyellow	greenyellow
CD74	HLA-DRA	0.9712324919599123	green	green
HNF1A	HNF1A-AS1	0.9708591811160713	blue	blue
FABP5P11	FABP5P7	0.9699889870769685	yellow	yellow
KRT17P1	KRT17P3	0.9698283102480894	yellow	yellow
RPL7AP6	RPL7AP66	0.9698268965079978	black	black
OR2A20P	OR2A7	0.9697033618137098	red	red
ARHGEF15	CDH5	0.9691399481786076	darkred	darkred
TPT1P4	TPT1P6	0.9679411020193552	black	black
H2BC12	H4C9	0.9678476726553027	lightsteelblue1	lightsteelblue1
FABP5P1	FABP5P11	0.9678279107591109	yellow	yellow
FOXL2	FOXL2NB	0.967547606852684	blue	blue
CDH5	DIPK2B	0.9674995219761118	darkred	darkred
AL031587.5	C22orf23	0.9674976277268252	steelblue	steelblue
GAPDHP65	GAPDHP72	0.9673575295873166	plum1	plum1
ARHGEF15	DIPK2B	0.9673372202474033	darkred	darkred
CNN1	LMOD1	0.9671025180273756	brown	brown
AC116565.1	TMEM271	0.9666761019573746	red	red
FABP5P2	FABP5P7	0.9664669932111526	yellow	yellow
FABP5P1	FABP5P10	0.9659829549774572	yellow	yellow
HNRNPKP2	HNRNPKP4	0.9659210224733272	sienna3	sienna3
GAPDHP38	GAPDHP60	0.9659130950422427	plum1	plum1
KRT17	KRT17P2	0.9652868611650915	yellow	yellow
CD2	CD3G	0.964599158325047	green	green
ZNF28	ZNF468	0.964352352257897	black	black
CD34	CDH5	0.9642694830558795	darkred	darkred
PAX8	PAX8-AS1	0.9640952263001044	darkturquoise	darkturquoise
ADGRL4	CDH5	0.9637430363928605	darkred	darkred
AC091182.2	LINC01605	0.9636688097643149	yellow	yellow
COL1A1	COL5A1	0.9633394615224434	greenyellow	greenyellow
LCE3D	LCE3E	0.963328387207078	magenta	magenta
NPM1P27	NPM1P39	0.9632299092784437	black	black
AC069061.2	GTF2IP6	0.963199525042839	cyan	cyan
AC005336.1	CYP4F11	0.9631529092833316	red	red
ADGRL4	MYCT1	0.9627394057402715	darkred	darkred
EEF1A1P13	EEF1A1P9	0.9626581108784705	black	black
AKR1C1	AKR1C2	0.9626288461768469	red	red
FABP5P10	FABP5P7	0.9625551450063498	yellow	yellow
