ID,Term_Description,Fold_Enrichment,lowest_p,project,comparison
GO:0000159,protein phosphatase type 2A complex,2.442716433385174,1.6807472641931067e-10,TCGA-CESC,cluster2_vs_cluster1
GO:0000159,protein phosphatase type 2A complex,1.3093045411241666,1.0108226833540331e-4,TCGA-COAD,cluster2_vs_cluster1
GO:0000159,protein phosphatase type 2A complex,1.3069526627218937,0.00447388968377715,TCGA-LIHC,cluster2_vs_cluster1
GO:0000159,protein phosphatase type 2A complex,0.9188767550702028,0.01586312930936831,TCGA-LUAD,cluster3_vs_cluster1
GO:0000165,MAPK cascade,1.260914693480376,7.967055587864227e-4,TCGA-BLCA,cluster2_vs_cluster1
GO:0000165,MAPK cascade,1.2449756979767153,0.00540233308203523,TCGA-BRCA,cluster2_vs_cluster1
GO:0000165,MAPK cascade,0.8210241345544612,0.01971352150896071,TCGA-CESC,cluster2_vs_cluster1
GO:0000165,MAPK cascade,1.325930630535267,0.00116830817364895,TCGA-COAD,cluster2_vs_cluster1
GO:0000165,MAPK cascade,1.2205200659333266,0.01523967392559861,TCGA-COAD,cluster3_vs_cluster2
GO:0000165,MAPK cascade,1.3174975375718871,4.667359260406966e-6,TCGA-ESCA,cluster2_vs_cluster1
GO:0000165,MAPK cascade,1.437647928994083,0.00662120803849658,TCGA-LIHC,cluster2_vs_cluster1
GO:0000165,MAPK cascade,1.2806648697214733,1.737109634538002e-6,TCGA-LUAD,cluster2_vs_cluster1
GO:0000165,MAPK cascade,1.182407153937403,0.00712950800618625,TCGA-LUSC,cluster2_vs_cluster1
GO:0000165,MAPK cascade,1.3011159881802794,0.01731805738531008,TCGA-PRAD,cluster2_vs_cluster1
GO:0000165,MAPK cascade,1.447395649617872,1.3591245844581352e-6,TCGA-SARC,cluster2_vs_cluster1
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",3.022861586314153,6.898294975647442e-13,TCGA-CESC,cluster2_vs_cluster1
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",1.1980399408284024,2.8313268468765063e-5,TCGA-LIHC,cluster2_vs_cluster1
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",1.199814814814815,0.00917687738219296,TCGA-SARC,cluster2_vs_cluster1
GO:0000502,proteasome complex,0.9985428663500204,1.465441098571841e-11,TCGA-CESC,cluster2_vs_cluster1
GO:0000502,proteasome complex,1.6991622350112916,6.945911810449866e-54,TCGA-LUAD,cluster2_vs_cluster1
GO:0000785,chromatin,0.8627220278231942,0.03108239082758789,TCGA-ESCA,cluster2_vs_cluster1
GO:0000785,chromatin,1.2642250223212963,0.00709762161239167,TCGA-PRAD,cluster2_vs_cluster1
GO:0000785,chromatin,1.2429924471909204,0.02210164522827339,TCGA-SARC,cluster2_vs_cluster1
GO:0000976,transcription cis-regulatory region binding,1.2591388510336092,0.00252757977111112,TCGA-BRCA,cluster2_vs_cluster1
GO:0000976,transcription cis-regulatory region binding,1.2357610258516976,0.01141761341643038,TCGA-CESC,cluster2_vs_cluster1
GO:0000976,transcription cis-regulatory region binding,1.2213425188079448,0.00293868861284875,TCGA-COAD,cluster3_vs_cluster2
GO:0000976,transcription cis-regulatory region binding,1.1697324924986017,0.00296654223849222,TCGA-LUAD,cluster2_vs_cluster1
GO:0000976,transcription cis-regulatory region binding,1.1760466645080898,2.1000706908815012e-5,TCGA-LUAD,cluster3_vs_cluster1
GO:0000976,transcription cis-regulatory region binding,1.1794747105970604,6.99457923243229e-4,TCGA-LUAD,cluster3_vs_cluster2
GO:0000976,transcription cis-regulatory region binding,1.1712523694662955,0.01093701877784827,TCGA-LUSC,cluster2_vs_cluster1
GO:0000976,transcription cis-regulatory region binding,1.058131268493256,0.03073436265735522,TCGA-PAAD,cluster2_vs_cluster1
GO:0000976,transcription cis-regulatory region binding,1.1994115039289908,0.00508175330397983,TCGA-PRAD,cluster2_vs_cluster1
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,1.0669180100537352,0.00725168806370798,TCGA-LUAD,cluster3_vs_cluster1
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,1.1426807760141091,0.04462493584960012,TCGA-SARC,cluster2_vs_cluster1
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",1.0910871176034718,0.0119549321592923,TCGA-COAD,cluster2_vs_cluster1
